RowID,OrderID,ProductID,Quantity,ShippingCost,OrderPriority
34058,CA-2014-126536,TEC-AC-10003709,1.0,,Medium
36503,CA-2012-102015,OFF-FA-10000490,1.0,,Medium
35542,CA-2014-117702,OFF-AR-10004582,1.0,,Low
35302,US-2012-168732,OFF-AR-10003087,1.0,,Medium
34712,CA-2013-116540,OFF-FA-10002676,1.0,,Critical
36823,CA-2014-166933,OFF-FA-10002676,1.0,,High
40686,US-2014-127292,OFF-EN-10001509,1.0,,High
37078,CA-2012-155586,OFF-AR-10001547,1.0,,Medium
39747,CA-2014-125451,OFF-AP-10002906,1.0,,Critical
38781,CA-2014-135111,OFF-AR-10004707,1.0,,Medium
31861,CA-2012-130736,OFF-LA-10000634,1.0,,Critical
34882,CA-2012-121650,OFF-LA-10001045,1.0,,Medium
39876,CA-2013-111605,OFF-LA-10002368,1.0,,Medium
31803,CA-2012-145352,OFF-AR-10001662,1.0,,Medium
32858,CA-2014-107293,OFF-AR-10003732,1.0,,High
37190,CA-2014-159954,OFF-BI-10004876,1.0,,High
40544,CA-2014-130106,OFF-AR-10003732,1.0,,High
38870,CA-2011-100916,OFF-AR-10001022,1.0,,Medium
35951,CA-2014-159107,OFF-FA-10001332,1.0,,Critical
32049,CA-2014-126074,OFF-BI-10000546,1.0,,High
39469,CA-2011-114125,OFF-LA-10004559,1.0,,High
34886,CA-2014-146535,OFF-BI-10000546,1.0,,Medium
40800,CA-2013-101329,OFF-AR-10003190,1.0,,Medium
32162,CA-2011-149020,OFF-LA-10004272,1.0,,Medium
36950,US-2011-134187,OFF-AR-10000940,1.0,,Medium
36917,US-2013-124163,OFF-AR-10000817,1.0,,High
32591,CA-2012-101707,OFF-LA-10000134,1.0,,Medium
37857,CA-2013-160941,OFF-LA-10003766,1.0,,High
32385,CA-2013-166163,OFF-LA-10000452,1.0,,Medium
33073,CA-2011-118976,OFF-LA-10000452,1.0,,Medium
33762,CA-2014-148691,OFF-LA-10001317,1.0,,Medium
37065,CA-2012-154900,OFF-LA-10001641,1.0,,Medium
35409,CA-2012-153717,OFF-AR-10002375,1.0,,Medium
39311,CA-2014-120138,OFF-FA-10000936,1.0,,Critical
33188,CA-2011-157623,OFF-AR-10003723,1.0,,High
36632,CA-2011-103331,OFF-PA-10002659,1.0,,Medium
32608,CA-2013-141082,OFF-LA-10001404,1.0,,Medium
35579,CA-2011-103100,OFF-LA-10003720,1.0,,Medium
32912,CA-2012-130022,OFF-LA-10002787,1.0,,Medium
34485,US-2014-146416,OFF-LA-10003714,1.0,,Medium
34653,US-2011-150434,OFF-BI-10002160,1.0,,Medium
37699,CA-2014-125472,OFF-BI-10000591,1.0,,Medium
40842,CA-2011-166590,TEC-AC-10003433,1.0,,High
39287,US-2013-117793,TEC-AC-10003433,1.0,,Medium
34941,CA-2011-156594,OFF-AR-10004269,1.0,,High
33061,CA-2013-110254,OFF-LA-10004484,1.0,,Medium
32077,CA-2012-144267,OFF-PA-10003657,1.0,,High
39395,CA-2014-122798,OFF-PA-10004239,1.0,,High
40794,CA-2014-118213,OFF-PA-10002615,1.0,,High
32188,CA-2014-133256,OFF-PA-10001622,1.0,,High
40002,US-2011-132745,OFF-FA-10000254,1.0,,High
31605,CA-2014-126774,OFF-AR-10002804,1.0,,Critical
35705,CA-2013-100041,OFF-BI-10000343,1.0,,Medium
38453,CA-2014-126718,OFF-LA-10004055,1.0,,Medium
33590,CA-2012-130995,TEC-PH-10000347,1.0,,Medium
38243,CA-2012-126466,OFF-FA-10000490,1.0,,Medium
32874,CA-2013-154403,OFF-PA-10001526,1.0,,Medium
38169,CA-2012-162544,OFF-PA-10004948,1.0,,Medium
41135,US-2013-125402,OFF-LA-10001771,1.0,,Medium
41262,CA-2013-146374,OFF-PA-10000349,1.0,,Medium
33556,CA-2012-117611,OFF-FA-10002280,1.0,,Critical
41156,CA-2014-113278,OFF-FA-10003472,1.0,,Medium
33561,CA-2013-131065,OFF-PA-10002479,1.0,,Critical
33415,CA-2014-155460,OFF-PA-10002479,1.0,,High
35251,CA-2011-133228,FUR-FU-10004020,1.0,,Medium
33819,CA-2013-124352,TEC-PH-10003442,1.0,,Medium
32528,CA-2012-132570,OFF-AR-10000369,1.0,,High
34030,CA-2011-107594,OFF-AR-10000716,1.0,,Medium
34923,CA-2014-113530,OFF-AR-10000122,1.0,,Medium
31715,CA-2014-154816,OFF-PA-10003845,1.0,,High
33630,CA-2014-169285,OFF-PA-10004971,1.0,,High
40376,CA-2013-108105,OFF-BI-10002412,1.0,,Medium
32788,CA-2014-166436,OFF-PA-10001838,1.0,,Medium
32951,US-2014-132444,OFF-FA-10000611,1.0,,High
40298,CA-2011-103807,TEC-AC-10000199,1.0,,Medium
38455,CA-2013-131380,OFF-PA-10001243,1.0,,Critical
31572,CA-2014-118136,OFF-AR-10001427,1.0,,High
38366,CA-2011-141901,OFF-PA-10001667,1.0,,High
33885,CA-2013-137729,OFF-ST-10001505,1.0,,Medium
34220,CA-2011-156993,OFF-FA-10003495,1.0,,Medium
36977,CA-2013-141551,OFF-BI-10001249,1.0,,Medium
32548,CA-2014-115602,OFF-AR-10000462,1.0,,Medium
32383,CA-2013-167584,OFF-PA-10000029,1.0,,Critical
32440,CA-2011-146969,OFF-PA-10002105,1.0,,High
32696,CA-2013-124485,OFF-PA-10004888,1.0,,High
33166,CA-2013-148201,OFF-PA-10000019,1.0,,High
33225,US-2014-101539,OFF-PA-10001972,1.0,,High
33686,US-2012-127040,OFF-PA-10004255,1.0,,High
34089,CA-2011-125514,OFF-PA-10000029,1.0,,High
34943,CA-2011-146528,OFF-PA-10002195,1.0,,High
36855,US-2012-114741,OFF-PA-10000048,1.0,,High
37385,CA-2012-137281,OFF-PA-10001870,1.0,,High
41170,CA-2013-100587,OFF-PA-10004609,1.0,,High
41250,CA-2012-141593,OFF-PA-10004983,1.0,,High
31941,US-2014-127719,OFF-PA-10001934,1.0,,Medium
